//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-22-2015
//--  Time: 15:24
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 94000.0 Ohms 
//--    Temperature2: 50.0(C), 	Resistance 2: 11000.0 Ohms 
//--    Temperature3: 98.0(C), 	Resistance 3: 2370.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
378	241.09	2411 	1.846
379	240.79	2408 	1.851
380	240.50	2405 	1.855
381	240.20	2402 	1.860
382	239.91	2399 	1.865
383	239.62	2396 	1.870
384	239.32	2393 	1.875
385	239.03	2390 	1.880
386	238.74	2387 	1.885
387	238.45	2384 	1.890
388	238.15	2382 	1.895
389	237.86	2379 	1.899
390	237.57	2376 	1.904
391	237.28	2373 	1.909
392	237.00	2370 	1.914
393	236.71	2367 	1.919
394	236.42	2364 	1.924
395	236.13	2361 	1.929
396	235.84	2358 	1.934
397	235.56	2356 	1.938
398	235.27	2353 	1.943
399	234.99	2350 	1.948
400	234.70	2347 	1.953
401	234.42	2344 	1.958
402	234.13	2341 	1.963
403	233.85	2338 	1.968
404	233.57	2336 	1.973
405	233.28	2333 	1.978
406	233.00	2330 	1.982
407	232.72	2327 	1.987
408	232.44	2324 	1.992
409	232.16	2322 	1.997
410	231.88	2319 	2.002
411	231.60	2316 	2.007
412	231.32	2313 	2.012
413	231.04	2310 	2.017
414	230.76	2308 	2.021
415	230.48	2305 	2.026
416	230.21	2302 	2.031
417	229.93	2299 	2.036
418	229.65	2297 	2.041
419	229.37	2294 	2.046
420	229.10	2291 	2.051
421	228.82	2288 	2.056
422	228.55	2285 	2.061
423	228.27	2283 	2.065
424	228.00	2280 	2.070
425	227.72	2277 	2.075
426	227.45	2275 	2.080
427	227.18	2272 	2.085
428	226.91	2269 	2.090
429	226.63	2266 	2.095
430	226.36	2264 	2.100
431	226.09	2261 	2.104
432	225.82	2258 	2.109
433	225.55	2255 	2.114
434	225.28	2253 	2.119
435	225.01	2250 	2.124
436	224.74	2247 	2.129
437	224.47	2245 	2.134
438	224.20	2242 	2.139
439	223.93	2239 	2.144
440	223.66	2237 	2.148
441	223.39	2234 	2.153
442	223.13	2231 	2.158
443	222.86	2229 	2.163
444	222.59	2226 	2.168
445	222.33	2223 	2.173
446	222.06	2221 	2.178
447	221.79	2218 	2.183
448	221.53	2215 	2.188
449	221.26	2213 	2.192
450	221.00	2210 	2.197
451	220.73	2207 	2.202
452	220.47	2205 	2.207
453	220.20	2202 	2.212
454	219.94	2199 	2.217
455	219.68	2197 	2.222
456	219.41	2194 	2.227
457	219.15	2192 	2.231
458	218.89	2189 	2.236
459	218.63	2186 	2.241
460	218.37	2184 	2.246
461	218.10	2181 	2.251
462	217.84	2178 	2.256
463	217.58	2176 	2.261
464	217.32	2173 	2.266
465	217.06	2171 	2.271
466	216.80	2168 	2.275
467	216.54	2165 	2.280
468	216.28	2163 	2.285
469	216.02	2160 	2.290
470	215.76	2158 	2.295
471	215.51	2155 	2.300
472	215.25	2152 	2.305
473	214.99	2150 	2.310
474	214.73	2147 	2.314
475	214.47	2145 	2.319
476	214.22	2142 	2.324
477	213.96	2140 	2.329
478	213.70	2137 	2.334
479	213.45	2134 	2.339
480	213.19	2132 	2.344
481	212.93	2129 	2.349
482	212.68	2127 	2.354
483	212.42	2124 	2.358
484	212.17	2122 	2.363
485	211.91	2119 	2.368
486	211.66	2117 	2.373
487	211.40	2114 	2.378
488	211.15	2111 	2.383
489	210.90	2109 	2.388
490	210.64	2106 	2.393
491	210.39	2104 	2.397
492	210.13	2101 	2.402
493	209.88	2099 	2.407
494	209.63	2096 	2.412
495	209.38	2094 	2.417
496	209.12	2091 	2.422
497	208.87	2089 	2.427
498	208.62	2086 	2.432
499	208.37	2084 	2.437
500	208.12	2081 	2.441
501	207.86	2079 	2.446
502	207.61	2076 	2.451
503	207.36	2074 	2.456
504	207.11	2071 	2.461
505	206.86	2069 	2.466
506	206.61	2066 	2.471
507	206.36	2064 	2.476
508	206.11	2061 	2.480
509	205.86	2059 	2.485
510	205.61	2056 	2.490
511	205.36	2054 	2.495
512	205.11	2051 	2.500
513	204.86	2049 	2.505
514	204.61	2046 	2.510
515	204.36	2044 	2.515
