//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 7-11-2014
//--  Time: 21:16
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:10, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
395	13.86	139 	1.929
396	13.87	139 	1.934
397	13.88	139 	1.938
398	13.89	139 	1.943
399	13.90	139 	1.948
400	13.91	139 	1.953
401	13.92	139 	1.958
402	13.93	139 	1.963
403	13.94	139 	1.968
404	13.95	139 	1.973
405	13.96	140 	1.978
406	13.96	140 	1.982
407	13.97	140 	1.987
408	13.98	140 	1.992
409	13.99	140 	1.997
410	14.00	140 	2.002
411	14.01	140 	2.007
412	14.02	140 	2.012
413	14.03	140 	2.017
414	14.04	140 	2.021
415	14.05	141 	2.026
416	14.06	141 	2.031
417	14.07	141 	2.036
418	14.08	141 	2.041
419	14.09	141 	2.046
420	14.10	141 	2.051
421	14.11	141 	2.056
422	14.12	141 	2.061
423	14.13	141 	2.065
424	14.14	141 	2.070
425	14.15	142 	2.075
426	14.16	142 	2.080
427	14.17	142 	2.085
428	14.18	142 	2.090
429	14.19	142 	2.095
430	14.20	142 	2.100
431	14.21	142 	2.104
432	14.22	142 	2.109
433	14.23	142 	2.114
434	14.24	142 	2.119
435	14.25	142 	2.124
436	14.26	143 	2.129
437	14.27	143 	2.134
438	14.28	143 	2.139
439	14.29	143 	2.144
440	14.30	143 	2.148
441	14.31	143 	2.153
442	14.32	143 	2.158
443	14.33	143 	2.163
444	14.34	143 	2.168
445	14.35	143 	2.173
446	14.36	144 	2.178
447	14.37	144 	2.183
448	14.38	144 	2.188
449	14.38	144 	2.192
450	14.39	144 	2.197
451	14.40	144 	2.202
452	14.41	144 	2.207
453	14.42	144 	2.212
454	14.43	144 	2.217
455	14.44	144 	2.222
456	14.45	145 	2.227
457	14.46	145 	2.231
458	14.47	145 	2.236
459	14.48	145 	2.241
460	14.49	145 	2.246
461	14.50	145 	2.251
462	14.51	145 	2.256
463	14.52	145 	2.261
464	14.53	145 	2.266
465	14.54	145 	2.271
466	14.55	146 	2.275
467	14.56	146 	2.280
468	14.57	146 	2.285
469	14.58	146 	2.290
470	14.59	146 	2.295
471	14.60	146 	2.300
472	14.61	146 	2.305
473	14.62	146 	2.310
474	14.63	146 	2.314
475	14.64	146 	2.319
476	14.65	146 	2.324
477	14.66	147 	2.329
478	14.67	147 	2.334
479	14.68	147 	2.339
480	14.69	147 	2.344
481	14.70	147 	2.349
482	14.71	147 	2.354
483	14.72	147 	2.358
484	14.73	147 	2.363
485	14.74	147 	2.368
486	14.75	147 	2.373
487	14.76	148 	2.378
488	14.77	148 	2.383
489	14.78	148 	2.388
490	14.79	148 	2.393
491	14.79	148 	2.397
492	14.80	148 	2.402
493	14.81	148 	2.407
494	14.82	148 	2.412
495	14.83	148 	2.417
496	14.84	148 	2.422
497	14.85	149 	2.427
498	14.86	149 	2.432
499	14.87	149 	2.437
500	14.88	149 	2.441
501	14.89	149 	2.446
502	14.90	149 	2.451
503	14.91	149 	2.456
504	14.92	149 	2.461
505	14.93	149 	2.466
506	14.94	149 	2.471
507	14.95	150 	2.476
508	14.96	150 	2.480
509	14.97	150 	2.485
510	14.98	150 	2.490
511	14.99	150 	2.495
512	15.00	150 	2.500
513	15.01	150 	2.505
514	15.02	150 	2.510
515	15.03	150 	2.515
516	15.04	150 	2.520
517	15.05	150 	2.524
